Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -77.1034    85.7881   -15.0904    -0.4823    -0.2040     0.8519    -0.8683     0.2397    -0.4342    -0.1156    -0.9492    -0.2928
  -77.4781    85.6423   -14.4692    -0.5312    -0.1894     0.8258    -0.8368     0.2695    -0.4765    -0.1323    -0.9442    -0.3017
  -77.9221    85.4997   -13.8275    -0.5887    -0.1694     0.7904    -0.7952     0.2973    -0.5285    -0.1454    -0.9396    -0.3097
  -78.5011    85.3561   -13.1187    -0.6619    -0.1390     0.7366    -0.7314     0.3349    -0.5941    -0.1641    -0.9320    -0.3233
  -79.1989    85.2385   -12.4233    -0.7439    -0.0961     0.6613    -0.6412     0.3817    -0.6658    -0.1885    -0.9193    -0.3455
  -79.9912    85.1680   -11.7998    -0.8207    -0.0419     0.5698    -0.5269     0.4414    -0.7263    -0.2211    -0.8963    -0.3844
  -80.8466    85.1555   -11.2736    -0.8775     0.0174     0.4793    -0.3973     0.5336    -0.7466    -0.2687    -0.8456    -0.4613
  -81.7294    85.2004   -10.8349    -0.9065     0.0723     0.4160    -0.2298     0.7421    -0.6296    -0.3542    -0.6664    -0.6561
  -82.6041    85.2910   -10.4458    -0.9081     0.1135     0.4030     0.2955     0.8556     0.4250    -0.2966     0.5050    -0.8106
  -83.4401    85.4078   -10.0538    -0.8833     0.1334     0.4494     0.4624     0.0898     0.8821     0.0773     0.9870    -0.1410
  -84.2173    85.5277    -9.6081    -0.8304     0.1270     0.5426     0.5234    -0.1564     0.8376     0.1912     0.9795     0.0634
  -84.9284    85.6290    -9.0741    -0.7552     0.0958     0.6485     0.5980    -0.3046     0.7414     0.2686     0.9476     0.1727
  -85.5800    85.6959    -8.4427    -0.6793     0.0502     0.7321     0.6342    -0.4617     0.6201     0.3692     0.8856     0.2818
  -86.1905    85.7204    -7.7314    -0.6286     0.0029     0.7777     0.5214    -0.7404     0.4243     0.5770     0.6722     0.4639
  -86.7849    85.7029    -6.9783    -0.6171    -0.0380     0.7860    -0.2410    -0.9417    -0.2347     0.7491    -0.3343     0.5720
  -87.3897    85.6503    -6.2305    -0.6444    -0.0697     0.7615    -0.6780    -0.4084    -0.6112     0.3536    -0.9101     0.2159
  -88.0258    85.5728    -5.5309    -0.6999    -0.0921     0.7083    -0.6862    -0.1887    -0.7025     0.1983    -0.9777     0.0689
  -88.7047    85.4801    -4.9067    -0.7646    -0.1069     0.6356    -0.6254    -0.1157    -0.7717     0.1560    -0.9875     0.0216
  -89.4257    85.3776    -4.3631    -0.8184    -0.1189     0.5622    -0.5448    -0.1508    -0.8249     0.1828    -0.9814     0.0586
  -90.1762    85.2639    -3.8835    -0.8484    -0.1356     0.5116    -0.3883    -0.4973    -0.7758     0.3597    -0.8569     0.3693
