Legend
======

Spline:
Name:          Name of the spline
Xp,Yp,Zp:      Coordinates of point P on spline

Data
====

Spline:
Name: TV Copy
X0 Y0 Z0: -58.52 49.08  3.66  
X1 Y1 Z1: -59.23 47.90  4.33  
X2 Y2 Z2: -59.84 46.47  5.44  
X3 Y3 Z3: -60.32 45.18  6.70  
X4 Y4 Z4: -60.84 44.11  7.96  
X5 Y5 Z5: -61.93 42.85  9.83  
X6 Y6 Z6: -62.96 42.24  11.02 
X7 Y7 Z7: -64.62 41.68  12.45 
X8 Y8 Z8: -66.29 41.24  13.67 
X9 Y9 Z9: -67.48 40.83  14.55 
X10 Y10 Z10: -69.04 40.05  15.77 
X11 Y11 Z11: -70.15 39.33  16.64 
X12 Y12 Z12: -71.28 38.57  17.40 
X13 Y13 Z13: -72.63 37.78  18.04 
X14 Y14 Z14: -73.87 37.24  18.37 
X15 Y15 Z15: -75.31 36.83  18.51 
X16 Y16 Z16: -76.77 36.58  18.54 
X17 Y17 Z17: -78.22 36.43  18.56 
X18 Y18 Z18: -79.37 36.33  18.64 
X19 Y19 Z19: -80.93 36.18  18.87 
X20 Y20 Z20: -82.34 36.06  19.10 
X21 Y21 Z21: -84.00 36.00  19.18 
X22 Y22 Z22: -85.07 36.07  19.00 
X23 Y23 Z23: -86.22 36.31  18.49 
X24 Y24 Z24: -87.26 36.77  17.58 
X25 Y25 Z25: -87.86 37.31  16.63 
X26 Y26 Z26: -88.28 38.22  15.28 
X27 Y27 Z27: -88.44 39.96  13.58 
X28 Y28 Z28: -88.67 42.07  12.70 
X29 Y29 Z29: -89.08 43.62  12.52 
X30 Y30 Z30: -89.61 44.84  12.58 
X31 Y31 Z31: -90.37 45.99  12.79 
X32 Y32 Z32: -91.31 47.01  13.06 
X33 Y33 Z33: -92.30 47.85  13.30 
X34 Y34 Z34: -93.38 48.68  13.50 
X35 Y35 Z35: -94.25 49.42  13.59 
X36 Y36 Z36: -95.21 50.48  13.56 
X37 Y37 Z37: -95.80 51.58  13.36 
X38 Y38 Z38: -96.10 53.06  12.89 
X39 Y39 Z39: -95.98 54.80  12.13 
X40 Y40 Z40: -95.88 56.15  11.42 
X41 Y41 Z41: -95.88 56.88  11.00 
X42 Y42 Z42: -95.89 57.52  10.62 
X43 Y43 Z43: -95.93 58.13  10.24 
X44 Y44 Z44: -96.01 58.93  9.71  
X45 Y45 Z45: -96.17 59.84  9.10  
X46 Y46 Z46: -96.41 60.80  8.44  
X47 Y47 Z47: -96.79 61.91  7.69  
X48 Y48 Z48: -97.39 63.40  6.75  
X49 Y49 Z49: -97.84 64.47  6.14  
X50 Y50 Z50: -98.40 65.98  5.39  
X51 Y51 Z51: -98.80 67.42  4.75  
X52 Y52 Z52: -99.04 69.06  4.07  
X53 Y53 Z53: -99.02 70.62  3.42  
X54 Y54 Z54: -98.56 72.43  2.61  
X55 Y55 Z55: -97.87 73.59  2.00  
X56 Y56 Z56: -97.11 74.35  1.53  
X57 Y57 Z57: -96.07 75.00  1.04  
X58 Y58 Z58: -94.85 75.46  0.58  
X59 Y59 Z59: -93.87 75.67  0.27  
X60 Y60 Z60: -93.01 75.79  0.03  
X61 Y61 Z61: -92.08 75.89  -0.21 
X62 Y62 Z62: -91.18 75.97  -0.44 
X63 Y63 Z63: -89.90 76.11  -0.75 
X64 Y64 Z64: -88.25 76.42  -1.17 
X65 Y65 Z65: -86.63 76.90  -1.65 
X66 Y66 Z66: -85.13 77.50  -2.18 
X67 Y67 Z67: -83.99 78.01  -2.64 
X68 Y68 Z68: -82.76 78.54  -3.18 
X69 Y69 Z69: -81.51 78.97  -3.79 
X70 Y70 Z70: -80.23 79.21  -4.42 
X71 Y71 Z71: -78.62 79.14  -5.21 
X72 Y72 Z72: -77.25 78.72  -5.86 
X73 Y73 Z73: -75.67 77.78  -6.52 
X74 Y74 Z74: -73.65 75.74  -7.08 
X75 Y75 Z75: -71.70 73.12  -6.98 
X76 Y76 Z76: -70.68 71.80  -6.63 
X77 Y77 Z77: -69.62 70.59  -6.10 
X78 Y78 Z78: -68.51 69.49  -5.45 
X79 Y79 Z79: -67.62 68.69  -4.89 
X80 Y80 Z80: -66.66 67.86  -4.28 
X81 Y81 Z81: -65.75 67.07  -3.71 
X82 Y82 Z82: -64.66 66.04  -3.07 
X83 Y83 Z83: -63.60 64.93  -2.51 
X84 Y84 Z84: -62.40 63.58  -1.97 
X85 Y85 Z85: -61.29 62.34  -1.55 
X86 Y86 Z86: -59.77 60.81  -1.00 
X87 Y87 Z87: -58.85 60.01  -0.64 
X88 Y88 Z88: -57.90 59.21  -0.21 
X89 Y89 Z89: -56.94 58.34  0.29  
X90 Y90 Z90: -56.09 57.36  0.84  
X91 Y91 Z91: -55.53 56.30  1.37  
X92 Y92 Z92: -55.26 54.87  1.96  
X93 Y93 Z93: -55.45 53.48  2.43  
X94 Y94 Z94: -56.21 51.89  2.84  
X95 Y95 Z95: -57.23 50.59  3.14  
